 ,Area
1,569
2,4086
3,1676
4,1388
5,260
6,127
7,1211
8,1060
9,917
10,825
11,8
12,765
13,819
14,804
15,1
16,42
17,1181
18,4
19,142
20,917
21,906
22,155
23,519
24,1086
25,1329
26,490
27,1015
28,712
29,627
30,827
31,476
32,8
33,878
34,661
35,1231
36,1526
37,555
38,1211
39,3323
40,1590
41,56
42,757
43,270
44,2
45,14
46,611
47,52
48,495
49,778
50,259
51,1313
52,1596
53,791
54,1160
55,673
56,7
57,118
58,8
59,1205
60,124784
61,2
62,14
63,4
64,1
65,1
66,1364
67,1
68,1304
69,1784
70,5
71,6
72,450
73,1
74,524
75,1
76,2
77,966
78,965
79,1610
80,2090
81,3
82,2831
83,683
84,1059
85,910
86,541
87,87
88,680
89,687
90,1409
91,504
92,1072
93,2
94,10
95,2
96,8
97,123
98,1081
99,21
100,7
101,902
102,35
103,3
104,45
105,1861
106,7130
107,581
108,761
109,1218
110,7
111,6
112,1406
113,15
114,1020
115,6
116,130
117,1
118,1050
119,1
120,12
121,1264
122,5
123,4
124,5
125,1
126,15
127,86
128,6
129,794
130,10
131,4
132,19
133,6
134,9
135,2
136,41
137,139
138,6462
139,2
140,646
141,105
142,16
143,231
144,1
145,2565
146,1170
147,3
148,527
149,9
150,1
151,1846
152,818
153,5
154,412
155,3435
156,339
157,2218
158,762
159,136
160,1530
161,2114
162,2
163,14
164,1
165,549
166,3355
167,1
168,669
169,745
170,549
171,7
172,694
173,373
174,886
175,14
176,2
177,1
178,1083
179,847
180,1
181,492
182,21
183,30
184,1
185,22
186,1033
187,1575
188,69
189,1395
190,1033
191,220
192,1339
193,1361
194,1353
195,3321
196,5
197,2
198,695
199,736
200,947
201,2761
202,3564
203,6
204,2
205,484
206,699
207,588
208,49
209,982
210,14
211,779
212,2774
213,1346
214,6
215,508
216,1069
217,577
218,2817
219,880
220,527
221,783
222,1075
223,703
224,105
225,1414
226,1
227,1278
228,2190
229,210
230,99
231,18
232,655
233,2268
234,1152
235,8
236,828
237,415
238,598
239,6
240,336
241,3202
242,4755
243,1126
244,693
245,3436
246,1
247,6
248,1
249,1088
250,478
251,2125
252,1
253,3
254,848
255,643
256,2079
257,9
258,5
259,13620
260,2
261,725
262,5
263,917
264,17
265,8
266,2
267,1272
268,2856
269,414
270,471
271,6
272,95
273,2
274,352
275,3491
276,15
277,10
278,1
279,734
280,5
281,7
282,8
283,1315
284,29909
285,3
286,1
287,24
288,672
289,2185
290,738
291,507
292,55
293,1
294,879
295,42
296,8
297,1315
298,1350
299,19
300,9
301,5
302,2724
303,463
304,754
305,1
306,803
307,20
308,16
309,1419
310,2239
311,34
312,5
313,18
314,29
315,6
316,13
317,874
318,254
319,1
320,1
321,1
322,1366
323,41
324,844
325,1050
326,2
327,1191
328,626
329,1711
330,449
331,1680
332,485
333,1
334,2377
335,1175
336,2337
337,1
338,227
339,846
340,1
341,1935
342,3
343,498
344,1985
345,1
346,517
347,1105
348,686
349,322
350,8
351,1030
352,10
353,4998
354,1033
355,6
356,1279
357,1233
358,1
359,567
360,639
361,2
362,13
363,663
364,4
365,1456
366,905
367,1248
368,12
369,1798
370,724
371,21
372,641
373,41
374,1794
375,64
376,1
377,569
378,1
379,2
380,449
381,10
382,6606
383,716
384,1448
385,485
386,1201
387,3139
388,674
389,4922
390,13
391,1371
392,256
393,1
394,1
395,10
396,291
397,1750
398,894
399,1010
400,550
401,3797
402,82
403,645
404,958
405,10
406,1
407,774
408,1370
409,10
410,1255
411,1311
412,1358
413,1
414,763
415,726
416,3032
417,2976
418,717
419,692
420,481
421,770
422,930
423,1165
424,628
425,1152
426,11
427,398
428,26
429,1158
430,1226
431,689
432,2169
433,1191
434,78
435,4578
436,4
437,1169
438,734
439,1619
440,572
441,957
442,1540
443,6731
444,1265
445,4
446,69
447,4
448,638
449,441
450,650
451,903
452,4
453,427
454,1302
455,3563
456,587
457,529
458,1123
459,781
460,691
461,4668
462,772
463,1678
464,350
465,688
466,6
467,44
468,3
469,118
470,1309
471,1409
472,3784
473,3
474,705
475,1049
476,559
477,977
478,826
479,8
480,1108
481,917
482,829
483,1142
484,448
485,344
486,347
487,44
488,167
489,95
490,145
491,50
492,12
493,6
