 ,Area
1,21.914
2,7.141
3,5.663
4,0.123
5,13.789
6,7.141
7,30.163
8,6.033
9,1.724
10,0.862
11,1.231
12,0.246
13,1.477
14,5.417
15,74.854
16,42.475
17,2.093
18,38.042
19,2.339
20,35.211
21,10.957
22,5.910
23,2.339
24,0.369
25,11.450
26,48.138
27,1.231
28,0.369
29,45.429
30,7.633
31,51.708
32,1.354
33,2.093
34,30.163
35,20.437
36,0.739
37,2.709
38,1.231
39,2.216
40,3.693
41,74.238
42,76.085
43,21.545
44,52.201
45,40.751
46,0.985
47,0.246
48,52.570
49,2.709
50,17.236
51,2.585
52,90.366
53,4.186
54,1.231
55,39.520
56,75.100
57,0.862
58,70.545
59,0.123
60,47.892
61,58.480
62,48.630
63,1.970
64,33.857
65,60.203
66,66.728
67,37.058
68,30.656
69,39.520
70,52.078
71,32.625
72,49.492
73,41.736
74,53.801
75,54.540
76,40.628
77,34.718
78,38.781
79,64.266
80,15.143
81,0.246
82,0.246
83,60.326
84,1.600
85,43.213
86,52.447
87,42.967
88,0.616
89,0.492
90,48.630
91,76.331
92,1.724
93,65.620
94,34.472
95,54.663
96,28.809
97,0.492
98,13.173
99,0.123
100,0.123
101,45.552
102,0.985
103,0.246
104,28.316
105,25.115
106,31.887
107,2.955
108,73.869
109,4.801
110,0.862
111,25.608
112,65.990
113,25.977
114,74.115
115,37.304
116,55.894
117,41.490
118,41.120
119,10.095
120,68.698
121,34.349
122,56.510
123,0.616
124,1.847
125,35.950
126,70.052
127,34.718
128,53.432
129,60.942
130,25.731
131,66.851
132,53.309
133,0.739
134,16.251
135,44.198
136,1.477
137,74.238
138,1.108
139,44.814
140,12.065
141,1.354
142,1.970
143,30.902
144,137.027
145,33.364
146,41.859
147,42.105
148,13.296
149,57.987
150,40.874
151,0.246
152,8.372
153,8.987
154,36.565
155,56.633
156,2.709
157,33.364
158,49.000
159,1.600
160,81.256
161,58.480
162,1.724
163,49.492
164,0.246
165,0.492
166,48.261
167,1.231
168,29.917
169,0.492
170,1.600
171,0.123
172,1.108
173,109.080
174,0.492
175,12.188
176,4.801
177,63.773
178,0.123
179,53.309
180,30.902
181,80.148
182,47.769
183,38.535
184,23.761
185,33.118
186,52.201
187,3.447
188,23.269
189,54.417
190,46.907
191,65.866
192,72.145
193,9.110
194,1.231
195,1.354
196,0.123
197,0.123
198,1.600
199,33.733
200,50.723
201,2.093
202,0.246
203,4.555
204,29.424
205,33.118
206,0.246
207,82.610
208,48.261
209,0.492
210,24.869
211,2.709
212,99.600
213,4.432
214,1.231
215,74.977
216,57.002
217,26.223
218,0.616
219,0.246
220,29.794
221,1.477
222,87.535
223,29.055
224,45.676
225,28.809
226,0.369
227,33.241
228,105.756
229,38.904
230,54.663
231,37.796
232,8.741
233,44.814
234,23.269
235,8.864
236,0.123
237,30.656
238,33.487
239,0.123
240,37.427
241,1.108
242,24.007
243,56.756
244,41.982
245,53.924
246,37.181
247,36.442
248,41.243
249,52.816
250,32.133
251,43.090
252,48.630
253,0.492
254,30.409
255,1.600
256,46.045
257,4.555
258,1.477
259,1.477
260,52.447
261,101.077
262,3.201
263,49.985
264,41.736
265,0.492
266,39.027
267,16.497
268,48.507
269,89.135
270,78.793
271,104.648
272,54.294
273,74.115
274,38.781
275,51.585
276,41.613
277,51.954
278,71.776
279,2.093
280,74.238
281,28.193
282,26.593
283,5.663
284,57.125
285,60.819
286,25.115
287,33.487
288,0.739
289,41.982
290,48.261
291,35.580
292,21.422
293,49.369
294,38.289
295,0.246
296,16.005
297,25.115
298,54.047
299,74.854
300,74.115
301,25.485
302,38.535
303,34.103
304,68.082
305,43.706
306,6.279
307,0.492
308,2.585
309,32.133
310,101.939
311,50.723
312,0.246
313,38.904
314,49.738
315,13.543
316,33.733
317,0.123
318,6.156
319,61.927
320,0.862
321,46.045
322,50.108
323,35.580
324,40.874
325,1.231
326,26.593
327,26.470
328,11.203
329,83.102
330,0.862
331,57.248
332,0.985
333,33.487
334,25.977
335,13.666
336,0.123
337,39.151
338,27.824
339,1.231
340,29.794
341,0.616
342,68.821
343,53.924
344,74.731
345,1.231
346,56.140
347,71.530
348,67.467
349,57.371
350,50.354
351,37.796
352,0.862
353,41.613
354,50.231
355,31.641
356,29.794
357,23.884
358,173.099
359,0.246
360,55.894
361,16.251
362,79.655
363,22.776
364,6.033
365,32.749
366,20.437
367,67.221
368,0.246
369,92.213
370,0.862
371,6.402
372,10.588
373,43.090
374,0.739
375,2.955
376,23.022
377,1.600
378,1.108
379,58.110
380,1.600
381,0.616
382,71.530
383,40.751
384,0.616
385,34.226
386,66.482
387,55.032
388,6.771
389,48.877
390,0.123
391,56.633
392,67.959
393,0.492
394,63.035
395,0.985
396,40.874
397,26.839
398,113.389
399,63.281
400,1.231
401,4.063
402,70.791
403,22.530
404,0.616
405,0.123
406,0.123
407,39.520
408,57.618
409,31.394
410,51.831
411,0.369
412,64.266
413,0.246
414,57.741
415,32.133
416,0.123
417,29.301
418,1.108
419,67.221
420,24.746
421,39.520
422,0.246
423,36.811
424,0.246
425,36.196
426,78.917
427,24.746
428,83.349
429,0.862
430,31.887
431,51.339
432,65.005
433,37.919
434,50.477
435,65.620
436,31.025
437,0.123
438,77.809
439,3.078
440,6.156
441,0.985
442,41.736
443,347.307
444,47.892
445,84.211
446,0.616
447,1.600
448,80.886
449,7.018
450,29.794
451,0.246
452,0.246
453,5.910
454,1.108
455,2.093
456,17.975
457,60.080
458,2.709
459,1.354
460,59.834
461,47.153
462,15.266
463,83.964
464,2.585
465,55.894
466,2.832
467,2.093
468,56.387
469,0.123
470,37.181
471,0.246
472,27.455
473,2.832
474,43.829
475,0.616
476,80.763
477,34.103
478,71.899
479,36.196
480,26.223
481,117.944
482,38.289
483,44.937
484,3.078
485,66.974
486,127.670
487,11.327
488,28.193
489,72.145
490,49.492
491,76.577
492,40.012
493,9.849
494,38.289
495,49.738
496,0.246
497,45.060
498,48.877
499,25.854
500,53.678
501,0.123
502,2.955
503,0.123
504,0.246
505,27.085
506,39.889
507,21.299
508,32.010
509,20.068
510,34.965
511,0.246
512,1.108
513,5.048
514,45.676
515,119.791
516,0.862
517,1.477
518,64.758
519,0.492
520,8.864
521,52.570
522,66.851
523,6.279
524,68.698
525,1.600
526,54.663
527,32.625
528,7.756
529,30.040
530,32.502
531,0.369
532,36.934
533,1.231
534,2.339
535,1.970
536,45.676
537,46.414
538,34.965
539,0.862
540,34.595
541,1.108
542,0.862
543,11.696
544,2.955
545,152.539
546,52.570
547,33.241
548,60.696
549,42.844
550,34.349
551,1.724
552,40.505
553,31.394
554,45.676
555,37.427
556,65.128
557,0.492
558,44.321
559,85.072
560,47.030
561,26.223
562,28.932
563,31.641
564,70.791
565,59.957
566,46.907
567,6.402
568,45.552
569,48.015
570,34.965
571,4.186
572,23.515
573,68.944
574,55.402
575,62.912
576,36.073
577,10.834
578,120.160
579,51.462
580,1.477
581,45.429
582,93.813
583,9.849
584,61.557
585,26.223
586,54.909
587,49.985
588,32.625
589,102.432
590,27.331
591,64.758
592,22.899
593,23.392
594,97.138
595,87.658
596,67.836
597,27.455
598,19.206
599,0.123
600,2.709
601,102.308
602,1.477
603,11.942
604,0.616
605,2.832
606,38.042
607,41.367
608,0.123
609,0.985
610,69.806
611,1.108
612,54.294
613,63.650
614,9.357
615,1.108
616,50.723
617,0.123
618,0.492
619,0.369
620,0.369
621,0.616
622,74.361
623,32.872
624,38.042
625,30.163
626,0.246
627,164.974
628,99.231
629,0.616
630,66.605
631,27.455
632,0.123
633,5.048
634,41.613
635,0.492
636,45.552
637,38.781
638,0.616
639,30.409
640,0.862
641,1.600
642,0.369
643,42.967
644,51.954
645,24.377
646,32.995
647,3.324
648,27.455
649,31.764
650,0.369
651,51.831
652,16.990
653,62.419
654,24.007
655,69.437
656,91.844
657,0.492
658,1.477
659,55.279
660,57.618
661,61.804
662,62.665
663,51.831
664,5.048
665,41.367
666,34.103
667,1.477
668,36.319
669,48.384
670,18.837
671,35.088
672,10.711
673,43.090
674,0.739
675,30.532
676,6.033
677,0.862
678,0.862
679,0.862
680,29.917
681,47.153
682,19.698
683,0.123
684,31.271
685,0.862
686,33.364
687,26.223
688,12.311
689,1.231
690,9.849
691,2.216
