 ,Area
1,21.914
2,7.141
3,5.663
4,0.123
5,13.789
6,7.141
7,30.163
8,6.033
9,1.724
10,0.862
11,1.231
12,0.246
13,1.477
14,5.417
15,74.854
16,14.158
17,2.093
18,38.042
19,2.339
20,35.211
21,10.957
22,5.910
23,2.339
24,0.369
25,11.450
26,48.138
27,1.231
28,27.455
29,0.369
30,45.429
31,7.633
32,51.708
33,1.354
34,2.093
35,30.163
36,20.437
37,0.739
38,2.709
39,1.231
40,2.216
41,3.693
42,74.238
43,76.085
44,21.545
45,52.201
46,40.751
47,0.985
48,0.246
49,52.570
50,2.709
51,17.236
52,2.585
53,90.366
54,4.186
55,1.231
56,39.520
57,75.100
58,0.862
59,70.545
60,0.123
61,47.892
62,58.480
63,48.630
64,1.970
65,33.857
66,60.203
67,66.728
68,37.058
69,30.656
70,39.520
71,26.100
72,32.625
73,49.492
74,41.736
75,53.801
76,54.540
77,40.628
78,24.869
79,34.718
80,23.022
81,64.266
82,15.143
83,0.246
84,7.018
85,4.309
86,0.246
87,60.326
88,1.600
89,43.213
90,52.447
91,42.967
92,0.616
93,2.832
94,0.492
95,48.630
96,26.839
97,23.022
98,1.724
99,65.620
100,34.472
101,54.663
102,28.809
103,0.492
104,13.173
105,0.123
106,0.123
107,23.515
108,45.552
109,0.985
110,0.246
111,16.251
112,25.115
113,31.887
114,2.955
115,73.869
116,4.801
117,0.985
118,8.495
119,0.862
120,25.608
121,65.990
122,25.977
123,74.115
124,37.304
125,55.894
126,41.490
127,41.120
128,10.095
129,32.749
130,2.093
131,31.394
132,56.510
133,33.118
134,0.616
135,1.847
136,35.950
137,70.052
138,34.718
139,53.432
140,29.178
141,25.731
142,30.040
143,29.671
144,53.309
145,0.739
146,16.251
147,44.198
148,1.477
149,74.238
150,1.108
151,35.826
152,44.814
153,12.065
154,1.354
155,1.970
156,30.902
157,78.917
158,33.364
159,41.859
160,57.495
161,42.105
162,13.296
163,57.987
164,40.874
165,0.246
166,8.372
167,8.987
168,36.565
169,56.633
170,2.709
171,33.364
172,49.000
173,1.600
174,36.073
175,43.706
176,19.329
177,1.724
178,36.934
179,49.492
180,0.246
181,0.492
182,48.261
183,1.231
184,29.917
185,0.492
186,1.600
187,0.123
188,1.108
189,70.052
190,0.492
191,12.188
192,2.339
193,2.339
194,63.773
195,0.123
196,53.309
197,30.902
198,80.148
199,38.166
200,47.769
201,38.535
202,23.761
203,33.118
204,52.201
205,3.447
206,23.269
207,54.417
208,46.907
209,31.887
210,33.487
211,9.110
212,36.196
213,1.231
214,31.148
215,1.354
216,0.123
217,0.123
218,1.600
219,33.733
220,50.723
221,2.093
222,0.246
223,4.555
224,29.424
225,33.118
226,0.246
227,82.610
228,19.206
229,0.492
230,24.869
231,2.709
232,36.442
233,15.759
234,4.432
235,1.231
236,74.977
237,57.002
238,26.223
239,0.616
240,11.327
241,0.246
242,29.794
243,1.477
244,87.535
245,29.055
246,45.676
247,28.809
248,61.188
249,0.369
250,33.241
251,39.397
252,38.904
253,5.417
254,37.796
255,64.389
256,8.741
257,44.814
258,23.269
259,48.384
260,8.864
261,0.123
262,7.018
263,33.487
264,3.570
265,14.404
266,3.324
267,0.123
268,37.427
269,1.108
270,24.007
271,56.756
272,41.982
273,24.254
274,37.181
275,36.442
276,41.243
277,52.816
278,32.133
279,43.090
280,28.316
281,48.630
282,0.492
283,30.409
284,1.600
285,30.902
286,4.555
287,1.477
288,1.477
289,52.447
290,47.153
291,3.201
292,49.985
293,41.736
294,0.492
295,14.281
296,39.027
297,16.497
298,48.507
299,52.201
300,49.861
301,78.793
302,50.600
303,54.294
304,74.115
305,38.781
306,38.781
307,51.585
308,41.613
309,51.954
310,71.776
311,2.093
312,47.276
313,52.939
314,11.080
315,26.593
316,5.663
317,57.125
318,16.867
319,60.819
320,25.115
321,25.608
322,33.487
323,0.739
324,41.982
325,48.261
326,35.580
327,21.422
328,49.369
329,38.289
330,0.246
331,16.005
332,4.678
333,54.047
334,20.314
335,74.854
336,30.532
337,25.485
338,38.535
339,34.103
340,68.082
341,43.706
342,6.279
343,0.492
344,2.585
345,32.133
346,22.653
347,42.721
348,50.723
349,0.246
350,38.904
351,49.738
352,17.729
353,13.543
354,33.733
355,0.123
356,57.741
357,6.156
358,33.610
359,0.862
360,46.045
361,50.108
362,35.580
363,39.397
364,26.470
365,1.231
366,26.593
367,26.470
368,11.203
369,50.846
370,0.862
371,57.248
372,0.985
373,33.487
374,25.977
375,13.666
376,0.123
377,39.151
378,27.824
379,1.231
380,29.794
381,0.616
382,68.821
383,29.301
384,53.924
385,74.731
386,1.231
387,56.140
388,71.530
389,67.467
390,57.371
391,50.354
392,37.796
393,0.862
394,41.613
395,50.231
396,31.641
397,29.794
398,23.884
399,88.889
400,0.246
401,55.894
402,4.186
403,57.248
404,22.776
405,6.033
406,11.819
407,82.364
408,32.749
409,20.437
410,67.221
411,0.246
412,92.213
413,0.862
414,6.402
415,10.588
416,43.090
417,0.739
418,20.806
419,2.955
420,23.022
421,1.600
422,1.108
423,24.500
424,1.600
425,0.616
426,31.764
427,71.530
428,40.751
429,0.616
430,32.625
431,66.482
432,55.032
433,6.771
434,48.877
435,0.123
436,56.633
437,66.359
438,0.492
439,63.035
440,0.985
441,40.874
442,26.839
443,65.990
444,4.925
445,1.231
446,4.063
447,70.791
448,22.530
449,18.221
450,0.616
451,0.123
452,0.123
453,1.108
454,39.520
455,57.618
456,31.394
457,51.831
458,0.369
459,64.266
460,0.246
461,57.741
462,32.133
463,0.123
464,37.919
465,29.301
466,1.108
467,46.537
468,67.221
469,24.746
470,39.520
471,0.246
472,36.811
473,0.246
474,36.196
475,78.917
476,24.746
477,83.349
478,0.862
479,31.887
480,51.339
481,65.005
482,37.919
483,50.477
484,65.620
485,31.025
486,0.123
487,41.736
488,33.857
489,3.078
490,6.156
491,0.985
492,41.736
493,74.484
494,47.892
495,84.211
496,0.616
497,1.600
498,80.886
499,7.018
500,29.794
501,0.246
502,0.246
503,5.910
504,1.108
505,2.093
506,17.975
507,60.080
508,2.709
509,71.776
510,90.612
511,104.894
512,1.354
513,59.834
514,47.153
515,15.266
516,83.964
517,2.585
518,55.894
519,2.832
520,2.093
521,56.387
522,0.123
523,37.181
524,0.246
525,27.455
526,2.832
527,43.829
528,0.616
529,80.763
530,34.103
531,71.899
532,36.196
533,26.223
534,53.186
535,38.289
536,44.937
537,62.296
538,3.078
539,66.974
540,68.698
541,11.327
542,28.193
543,38.781
544,32.379
545,49.492
546,26.470
547,47.892
548,40.012
549,9.849
550,38.289
551,49.738
552,0.246
553,19.945
554,48.877
555,25.854
556,53.678
557,0.123
558,28.316
559,2.955
560,0.123
561,27.208
562,24.254
563,0.246
564,27.085
565,39.889
566,21.299
567,32.010
568,20.068
569,34.965
570,0.246
571,1.108
572,2.709
573,45.676
574,114.620
575,0.862
576,1.847
577,1.477
578,64.758
579,0.492
580,8.864
581,52.570
582,27.824
583,6.279
584,68.698
585,36.811
586,1.600
587,27.085
588,32.625
589,7.756
590,30.040
591,32.502
592,0.369
593,36.934
594,1.231
595,2.339
596,1.970
597,45.676
598,46.414
599,34.965
600,4.925
601,26.347
602,0.862
603,34.595
604,1.108
605,0.862
606,11.696
607,2.955
608,19.945
609,52.570
610,59.341
611,33.241
612,60.696
613,42.844
614,34.349
615,1.724
616,40.505
617,31.394
618,45.676
619,37.427
620,26.470
621,65.128
622,0.492
623,44.321
624,38.904
625,47.030
626,26.223
627,38.658
628,28.070
629,31.641
630,44.937
631,36.688
632,59.957
633,46.907
634,6.402
635,31.517
636,45.552
637,48.015
638,34.965
639,4.186
640,23.515
641,68.944
642,55.402
643,32.379
644,36.073
645,10.834
646,23.515
647,27.701
648,51.462
649,1.477
650,19.575
651,72.145
652,9.849
653,61.557
654,26.223
655,54.909
656,52.570
657,49.985
658,23.884
659,32.625
660,69.929
661,27.331
662,64.758
663,31.887
664,22.899
665,23.392
666,31.517
667,87.658
668,40.135
669,67.836
670,27.455
671,19.575
672,19.206
673,0.123
674,2.709
675,52.447
676,63.897
677,1.477
678,11.942
679,0.616
680,2.832
681,38.042
682,41.367
683,0.123
684,0.985
685,69.806
686,1.108
687,48.753
688,54.294
689,63.650
690,9.357
691,1.108
692,50.723
693,0.123
694,0.492
695,0.369
696,0.369
697,0.616
698,74.361
699,32.872
700,38.042
701,30.163
702,0.246
703,38.042
704,79.655
705,49.861
706,0.616
707,66.605
708,44.691
709,27.455
710,0.123
711,5.048
712,41.613
713,0.492
714,45.552
715,38.781
716,0.616
717,30.409
718,48.507
719,0.862
720,1.600
721,0.369
722,42.967
723,51.954
724,24.377
725,32.995
726,3.324
727,27.455
728,31.764
729,0.369
730,51.831
731,16.990
732,30.532
733,24.007
734,29.794
735,54.294
736,53.801
737,0.492
738,1.477
739,35.457
740,55.279
741,57.618
742,13.543
743,61.804
744,62.665
745,43.090
746,5.048
747,41.367
748,34.103
749,1.477
750,36.319
751,48.384
752,7.756
753,18.837
754,35.088
755,10.711
756,43.090
757,0.739
758,30.532
759,6.033
760,0.862
761,0.862
762,0.862
763,26.593
764,2.832
765,19.698
766,0.123
767,31.271
768,43.952
769,0.862
770,33.364
771,26.223
772,3.078
773,12.311
774,1.231
775,9.849
776,2.216
