 ,Label,Area,Mean,Min,Max
1,1.jpg,459,20.5262,-43.4287,57.8058
2,1.jpg,130,-48.6071,-89.3720,25.3349
3,1.jpg,127,31.2149,1.9799,69.3694
4,1.jpg,12,-8.8415,-28.1488,8.6182
5,1.jpg,144,8.9785,-53.8082,46.7731
6,1.jpg,1056,2.2391,-105.4341,82.3497
7,1.jpg,583,14.5142,-75.4046,81.3770
8,1.jpg,2,0.0143,-1.5939,1.6225
9,1.jpg,291,71.8545,43.1283,84.7803
10,1.jpg,26,-19.6183,-27.8885,-10.0982
11,1.jpg,19,-9.9689,-15.5743,-3.5555
12,1.jpg,535,0.3370,-100.1647,64.2983
13,1.jpg,27,-26.5362,-34.9598,-16.7368
14,1.jpg,263,-72.5375,-101.7051,-40.0122
15,1.jpg,15,-5.2382,-9.5939,-3.3228
16,1.jpg,2844,11.2546,-65.2962,77.7158
17,1.jpg,118,50.5559,16.2917,70.4342
18,1.jpg,597,4.4562,-32.4779,68.0359
19,1.jpg,53,-2.7973,-16.2161,7.5067
20,1.jpg,207,-57.7301,-84.4016,15.6771
21,1.jpg,1966,-0.0471,-78.7284,55.5483
22,1.jpg,11,-3.0432,-3.9011,-1.8048
23,1.jpg,1015,2.9132,-96.4500,85.2992
24,1.jpg,269,-3.3007,-96.8960,72.0170
25,1.jpg,64,-21.2438,-40.8082,-6.7752
26,1.jpg,544,-5.7161,-105.5880,84.7075
27,1.jpg,37,-20.8463,-38.0130,-0.9774
28,1.jpg,27,6.0516,-3.1931,14.6564
29,1.jpg,902,12.3372,-42.1150,57.9063
30,1.jpg,239,-9.6018,-25.7623,1.8529
31,1.jpg,2167,3.8333,-96.0736,83.5807
32,1.jpg,669,21.8195,-41.8715,72.9631
33,1.jpg,488,-3.7609,-48.1705,40.4265
34,1.jpg,14,4.7466,-1.5391,10.8604
35,1.jpg,8,2.8924,-6.4857,13.9960
36,1.jpg,86,-50.7528,-75.7688,-8.1694
37,1.jpg,75,28.6098,8.4713,47.6749
38,1.jpg,1030,9.8239,-46.1376,68.2395
39,1.jpg,726,15.4307,-29.7120,71.2097
40,1.jpg,882,5.9765,-35.9213,62.7264
41,1.jpg,270,0.0811,-87.0004,73.8754
42,1.jpg,795,18.2855,-42.6472,57.5912
43,1.jpg,986,15.7822,-49.8288,67.3696
44,1.jpg,517,2.0812,-38.7600,59.0919
45,1.jpg,37,-0.2503,-25.6381,19.5147
46,1.jpg,138,-66.3535,-87.4340,-14.6997
47,1.jpg,312,-4.9697,-18.2940,19.0194
48,1.jpg,2,-5.4525,-7.3484,-3.5566
49,1.jpg,93,43.4350,6.6796,69.0467
50,1.jpg,683,11.1499,-94.6397,74.2907
51,1.jpg,618,15.3196,-45.5102,67.8179
52,1.jpg,347,22.2943,-70.2837,86.4441
53,1.jpg,659,19.5992,-44.2847,73.0632
54,1.jpg,407,-5.8859,-37.3691,48.3946
55,1.jpg,420,1.9928,-37.1169,53.0553
56,1.jpg,39,16.9134,-8.6552,31.3816
